condition,symptoms,medication
Hypertension,Headache dizziness,Lisinopril
Diabetes Mellitus,Frequent urination increased thirst fatigue,Metformin
Asthma,Shortness of breath wheezing coughing,Albuterol inhaler
Migraine,Severe headache nausea sensitivity to light,Sumatriptan
Hypothyroidism,Fatigue weight gain cold intolerance,Levothyroxine
Anemia,Fatigue pale skin shortness of breath,Iron supplements
Bronchitis,Cough mucus production chest discomfort,Azithromycin
Depression,Persistent sadness loss of interest fatigue,Sertraline
Allergic Rhinitis,Sneezing runny nose itchy eyes,Loratadine
Gastroesophageal Reflux Disease GERD,Heartburn acid reflux chest pain,Omeprazole
Osteoarthritis,Joint pain stiffness reduced mobility,Ibuprofen
Pneumonia,Fever cough with phlegm shortness of breath,Amoxicillin
Anxiety,Restlessness rapid heartbeat sweating,Diazepam
Chronic Kidney Disease,Swelling fatigue changes in urination,ACE inhibitors
Influenza,Fever chills muscle aches,Oseltamivir
Psoriasis,Red scaly skin patches itching,Topical corticosteroids
Chronic Obstructive Pulmonary Disease COPD,Shortness of breath chronic cough wheezing,Tiotropium
Hyperlipidemia,Usually asymptomatic sometimes chest pain,Atorvastatin
Urinary Tract Infection UTI,Burning urination frequent urination pelvic pain,Trimethoprim Sulfamethoxazole
Hypoglycemia,Sweating confusion shakiness,Glucose tablets
Schizophrenia,Hallucinations delusions disorganized speech,Risperidone
Epilepsy,Seizures loss of consciousness muscle spasms,Phenytoin
Gout,Joint pain swelling redness,Allopurinol
Tuberculosis,Persistent cough night sweats weight loss,Isoniazid
Hypotension,Dizziness fainting fatigue,Fludrocortisone
Cirrhosis,Jaundice abdominal swelling fatigue,Diuretics
Multiple sclerosis,Muscle weakness vision problems numbness,Interferon beta
Parkinsons disease,Tremor stiffness slow movement,Levodopa
Celiac disease,Diarrhea abdominal pain weight loss,Gluten free diet
Rheumatoid arthritis,Joint pain swelling morning stiffness,Methotrexate
Anaphylaxis,Swelling difficulty breathing low blood pressure,Epinephrine
Appendicitis,Abdominal pain nausea fever,Surgical removal
Bipolar disorder,Mood swings depression mania,Lithium
COPD exacerbation,Increased cough sputum production shortness of breath,Prednisone
Chickenpox,Rash fever itching,Calamine lotion
Dengue fever,Fever rash muscle pain,Paracetamol
Deep vein thrombosis,Leg pain swelling redness,Heparin
Eczema,Itchy dry skin redness,Topical corticosteroids
Glaucoma,Eye pain blurred vision headache,Latanoprost
Heart failure,Shortness of breath fatigue swollen legs,Digoxin
Hepatitis B,Fatigue jaundice abdominal pain,Entecavir
HIV AIDS,Fever weight loss night sweats,Antiretroviral therapy
Hyperthyroidism,Weight loss palpitations heat intolerance,Propylthiouracil
Inflammatory bowel disease,Diarrhea abdominal pain weight loss,Mesalamine
Lupus,Fatigue joint pain rash,Hydroxychloroquine
Lyme disease,Fever rash joint pain,Doxycycline
Malaria,Fever chills sweating,Artemisinin
Melanoma,Changing mole skin lesion itching,Surgical excision
Meningitis,Fever neck stiffness headache,Ceftriaxone
Mononucleosis,Fatigue sore throat swollen glands,Rest and fluids
Osteoporosis,Fractures back pain loss of height,Calcium and Vitamin D
Otitis media,Ear pain fever hearing loss,Amoxicillin
Pancreatitis,Severe abdominal pain nausea vomiting,IV fluids and pain control
Peptic ulcer disease,Abdominal pain nausea bloating,Omeprazole
Pneumothorax,Chest pain shortness of breath sudden collapse,Chest tube insertion
Polycystic ovary syndrome,Irregular periods weight gain excess hair,Metformin
Post traumatic stress disorder,Flashbacks nightmares anxiety,Psychotherapy
Prostate cancer,Difficulty urinating pelvic pain blood in urine,Prostatectomy
Psoriatic arthritis,Joint pain skin rash stiffness,NSAIDs
Schistosomiasis,Fever abdominal pain blood in urine or stool,Praziquantel
Sinusitis,Facial pain nasal congestion headache,Amoxicillin
Sleep apnea,Snoring daytime fatigue morning headache,CPAP machine
Stroke,Weakness on one side difficulty speaking facial droop,Clot busting drugs
Systemic sclerosis,Skin thickening Raynauds phenomenon fatigue,Immunosuppressants
Tinnitus,Ringing in ears hearing loss,None specific
Tonsillitis,Sore throat difficulty swallowing fever,Antibiotics
Tuberculosis,Fever night sweats weight loss,Rifampin
Ulcerative colitis,Diarrhea abdominal pain blood in stool,Mesalamine
Urinary incontinence,Urge to urinate leakage,Kegel exercises and medications
Vertigo,Dizziness nausea imbalance,Meclizine
Vitamin D deficiency,Fatigue bone pain muscle weakness,Vitamin D supplements
Whooping cough,Severe coughing fits vomiting difficulty breathing,Azithromycin
Wound infection,Redness swelling pus,Antibiotics
Zika virus,Fever rash joint pain,None specific supportive care
Acne,Inflamed skin pimples blackheads,Topical benzoyl peroxide
Acute bronchitis,Cough fatigue chest discomfort,Rest fluids and cough suppressants
Acute lymphoblastic leukemia,Fatigue fever frequent infections,Chemotherapy
Acute pancreatitis,Severe abdominal pain nausea vomiting,Hospitalization and IV fluids
Alcoholism,Cravings withdrawal tremors,Detox and counseling
Anorexia nervosa,Extreme weight loss fatigue,Dietary therapy and counseling
Atrial fibrillation,Palpitations fatigue shortness of breath,Anticoagulants beta blockers
Bacterial meningitis,Fever neck stiffness headache,Antibiotics
Bacterial pneumonia,Fever cough chest pain,Antibiotics
Bell palsy,Facial weakness drooping,Prednisone
Benign prostatic hyperplasia,Urinary urgency weak stream,Tamsulosin
Bipolar disorder,Mood swings depression mania,Lithium and mood stabilizers
Bladder cancer,Blood in urine frequent urination,Surgery chemotherapy
Bone fracture,Pain swelling deformity,Immobilization surgery
Breast cancer,Lump nipple changes pain,Surgery radiation chemotherapy
Bronchiectasis,Chronic cough mucus production,Antibiotics and physiotherapy
Bulimia nervosa,Binge eating vomiting electrolyte imbalance,Psychotherapy and medication
Burns,Pain redness blistering,Topical antibiotics and wound care
Carpal tunnel syndrome,Numbness tingling hand pain,Splints and surgery
Cataracts,Blurry vision sensitivity to light,Surgery
Chlamydia,Genital discharge pain during urination,Antibiotics
Chronic fatigue syndrome,Fatigue muscle pain memory problems,Supportive care
Chronic myeloid leukemia,Fatigue weight loss night sweats,Tyrosine kinase inhibitors
