country,region,religions,politics
Algeria,Northern Africa,"{""Christian"": 1.0, ""Muslim"": 98.0, ""Irreligion"": 0.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 0.2, ""Other religion"": 0.0, ""Jewish"": 0.33}","[""Algerian National Front or FNA"",""Algerian Popular Movement or MPA"",""Algeria's Hope Rally or TAJ"",""Dignity or El Karama"",""El-Infitah"",""El Mostakbal (Future Front)"",""Ennour El Djazairi Party (Algerian Radiance Party) or PED"",""Equity and Proclamation Party or PEP"",""Islamic Renaissance Movement or Ennahda Movement"",""Justice and Development Front or FJD"",""Movement for National Reform or El Islah"",""Movement of Society for Peace or MSP"",""National Construction Movement or El-Bina (Harakat El-Binaa El-Watani)"",""National Democratic Rally (Rassemblement National Democratique) or RND"",""National Front for Social Justice or FNJS"",""National Liberation Front or FLN"",""National Militancy Front or FMN"",""National Party for Solidarity and Development or PNSD"",""National Republican Alliance or ANR"",""New Dawn Party (El-Fajr El-Jadid)"",""New Generation (Jil Jadid)"",""Oath of 1954 or Ahd 54"",""Party of Justice and Liberty or PLJ"",""Rally for Culture and Democracy or RCD"",""Socialist Forces Front or FFS"",""Union for Change and Progress or UCP"",""Union of Democratic and Social Forces or UFDS"",""Vanguard of Liberties (Talaie El Hurriyet)"",""Workers Party or PT"",""Youth Party or PJ""]"
Egypt,Northern Africa,"{""Christian"": 11.2, ""Muslim"": 88.9, ""Irreligion"": 0.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 0.0, ""Other religion"": 0.0, ""Jewish"": 0.1}","[""Al-Nour"",""Arab Democratic Nasserist Party"",""Congress Party"",""Conservative Party"",""Democratic Peace Party"",""Egyptian National Movement Party"",""Egyptian Social Democratic Party"",""El Ghad Party"",""El Serh El Masry el Hor"",""Eradet Geel Party"",""Free Egyptians Party"",""Freedom Party"",""Justice Party"",""Homeland’s Protector Party"",""Modern Egypt Party"",""My Homeland Egypt Party"",""Nation's Future Party (Mostaqbal Watan)"",""National Progressive Unionist (Tagammu) Party"",""Reform and Development Party"",""Republican People’s Party"",""Revolutionary Guards Party"",""Wafd Party""]"
Libya,Northern Africa,"{""Christian"": 2.7, ""Muslim"": 96.6, ""Irreligion"": 0.2, ""Hindu"": 0.0, ""Buddhist"": 0.3, ""Folk religion"": 0.0, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Libyan National Party"",""Justice and Construction Party"",""National Front Party"",""Democratic Party of Libya"",""National Unity Party"",""Al-Watan Party"",""Libya's Dawn Coalition"",""Al-Taghyeer Party"",""Libyan Muslim Brotherhood"",""National Movement Party"",""The Libyan National Congress""]"
Morocco,Northern Africa,"{""Christian"": 0.06, ""Muslim"": 99.9, ""Irreligion"": 0.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 0.0, ""Other religion"": 0.01, ""Jewish"": 0.04}","[""Action Party or PA"",""Amal (hope) Party"",""An-Nahj Ad-Dimocrati or An-Nahj or Democratic Way"",""Authenticity and Modernity Party or PAM"",""Constitutional Union Party or UC"",""Democratic and Social Movement or MDS"",""Democratic Forces Front or FFD"",""Environment and Sustainable Development Party or PEDD"",""Federation of the Democratic Left or FGD"",""Green Left Party or PGV"",""Istiqlal (Independence) Party or PI"",""Moroccan Liberal Party or PML"",""Moroccan Union for Democracy or UMD"",""National Democratic Party"",""National Rally of Independents or RNI"",""Neo-Democrats Party"",""Party of Development Reform or PRD"",""Party of Justice and Development or PJD"",""Party of Liberty and Social Justice or PLJS"",""Party of Progress and Socialism or PPS"",""Popular Movement or MP"",""Renaissance and Virtue Party or PRV"",""Renaissance Party"",""Renewal and Equity Party or PRE"",""Shoura (consultation) and Istiqlal Party"",""Socialist Union of Popular Forces or USFP"",""Unified Socialist Party or GSU"",""Unity and Democracy Party""]"
Sudan,Northern Africa,"{""Christian"": 5.4, ""Muslim"": 90.7, ""Irreligion"": 1.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 2.8, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Democratic Unionist Party"",""Democratic Unionist Party or DUP"",""Federal Umma Party"",""Muslim Brotherhood or MB"",""National Congress Party or NCP"",""National Umma Party or NUP"",""Popular Congress Party or PCP"",""Reform Movement Now"",""Sudan National Front"",""Sudanese Communist Party or SCP"",""Sudanese Congress Party or SCoP"",""Umma Party for Reform and Development"",""Unionist Movement Party or UMP""]"
Tunisia,Northern Africa,"{""Christian"": 0.2, ""Muslim"": 99.5, ""Irreligion"": 0.2, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 0.0, ""Other religion"": 0.0, ""Jewish"": 0.1}","[""Afek Tounes"",""Al Badil Al-Tounisi (The Tunisian Alternative)"",""Al-Amal Party"",""Call for Tunisia Party (Nidaa Tounes)"",""Current of Love (formerly the Popular Petition party)"",""Democratic Current"",""Democratic Patriots' Unified Party"",""Dignity Coalition or Al Karama Coalition"",""Ennahda Movement (The Renaissance)"",""Ettakatol Party"",""Free Destourian Party or PDL"",""Green Tunisia Party"",""Harakat Hak"",""Heart of Tunisia (Qalb Tounes)"",""July 25 Movement"",""Labor and Achievement Party"",""Long Live Tunisia (Tahya Tounes)"",""Movement of Socialist Democrats or MDS"",""National Coalition Party"",""National Salvation Front"",""New Carthage Party"",""Party of the Democratic Arab Vanguard"",""People's Movement"",""Republican Party (Al Joumhouri)"",""The Movement Party (Hizb Harak)"",""Third Republic Party"",""Tunisian Ba'ath Movement"",""Voice of the Republic"",""Workers' Party""]"
Western Sahara,Northern Africa,"{""Christian"": 0.1, ""Muslim"": 99.6, ""Irreligion"": 0.2, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 0.0, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Polisario Front (Popular Front for the Liberation of Saguia el-Hamra and Rio de Oro)"",""Sahrawi Arab Democratic Republic (SADR)"",""Parti de l'Unité et du Progrès (PUP)"",""Union of Sahrawi Youth (UJS)"",""Democratic People's Party of the Sahrawi Arab Democratic Republic (PPSADR)"",""Arab Socialist Union (USA)"",""Democratic Union for the Sahrawi People's Rights (UDPS)""]"
British Indian Ocean Territory,Eastern Africa,"{""Christian"": 70.0, ""Muslim"": 10.0, ""Irreligion"": 15.0, ""Hindu"": 2.0, ""Buddhist"": 1.0, ""Folk religion"": 0.0, ""Other religion"": 1.0, ""Jewish"": 1.0}","[""British Indian Ocean Territory""]"
Burundi,Eastern Africa,"{""Christian"": 93.4, ""Muslim"": 2.1, ""Irreligion"": 0.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 5.7, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Council for Democracy and the Sustainable Development of Burundi or CODEBU"",""Front for Democracy in Burundi-Sahwanya or FRODEBU-Sahwanya"",""National Council for the Defense of Democracy - Front for the Defense of Democracy or CNDD-FDD"",""National Congress for Liberty or CNL"",""National Liberation Forces or FNL"",""Union for National Progress (Union pour le Progress Nationale) or UPRONA""]"
Comoros,Eastern Africa,"{""Christian"": 0.2, ""Muslim"": 99.8, ""Irreligion"": 0.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 0.0, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Convention for the Renewal of the Comoros or CRC"",""Juwa Party (Parti Juwa) or PJ"",""Orange Party (2020)""]"
