e_incidents
Accident
Collision
Crash
Explosion
Fire
Flood
Earthquake
Landslide
Terrorist attack
Break-in
Robbery
Hacking
Theft
Vandalism
Assault
Kidnapping
Shooting
Hostage situation
Plane crash
Train derailment
Boat sinking
Freak accident
Gas leak
Power outage
Medical emergency
Heart attack
Natural disaster
Building collapse
Traffic jam
Chemical spill
Radiation leak
Cyber attack
Food poisoning
Electrical fire
Heatstroke
Explosion at factory
Slip and fall
Drowning
Eruption
Tsunami
Plane emergency landing
Accidental overdose
Luggage theft
Security breach
Workplace injury
Traffic accident
Violence
Robbery at gunpoint
Police shooting
Cave-in
Gas explosion
Boiler explosion
Accidental discharge
Chemical explosion
Heatwave
Wildfire
Civil unrest
Food contamination
Medical malpractice
Toxic spill
Water contamination
Building fire
Loss of data
Airplane hijacking
Smuggling operation
Terrorist bombing
Riots
Public disturbance
Flooding
Sewer backup
Workplace shooting
Medical crisis
Crisis situation
Murder
Human trafficking
Workplace accident
Bomb threat
Vehicle fire
Protest clash
Contamination outbreak
Contaminated water
Power failure
Uncontrolled fire
Mining disaster
Riot outbreak
Factory explosion
Structural failure
Shipwreck
Collapsed bridge
Public health emergency
Toxic leak
Chemical leak
Deportation incident
Nuclear meltdown
Severe weather event
Food recall
Accidental injury
Environmental disaster
Construction mishap
Legal dispute
